"No","Year","Author(s)","Objective/Problem","Dataset/Data Source","Method/Approach","Functionality/Process","Tools/Technologies","Evaluation Metrics","Key Findings / Results","Weaknesses/Limitations","Research Gap/Relevance"
33,2023,"Xiongping Huang","Passive network defense modeling","Real-world network data collected over 1 month","Unified Modeling Language (UML) modeling","Maps event detection and calculates islanding risk","UML System Modeling","Network crawling completeness","Captured ~3 million node addresses stability","Relies on diagrammatic references","UML-based risk mapping for dynamic networks"
34,2023,"Xu Li","Decentralized IoT data sharing architecture","E-commerce transaction and network logs","Dual-Link Blockchain architecture","Dual-link storage with threat inspection","Public Blockchain, Smart Contracts","Precision, Recall, Convergence","Achieved higher precision in data sharing","Focuses strictly on algorithm detection","Blockchain infrastructure for distributed security"
35,2023,"Wenjing Sun","Sequential threat identification model","100M Ethernet connection network operational logs","Deep Learning (LSTM / GRU)","Models temporal traffic patterns for intrusion","Deep Learning, LSTM, GRU","Classification Precision, Recall, Accuracy","Outperformed traditional algorithms on time-series","Ignores administrative policy factors","Temporal threat modeling using recurrent neural nets"
36,2023,"Kexian Pan","Active defense architecture for power grids","DoS and malicious code execution samples","CNN-based active defense + Port isolation","Detects malware and isolates compromised ports","CNN Deep Learning, Honeynets, IPTables","True Positive Rate, False Positive Rate","CNN significantly outperformed decision trees","Limited quantitative DoS experiment data","Active malware isolation in power system networks"
37,2023,"Meng, Lina; Chen, Mingfei; Zeng, Ming, et al.","Asymmetric encryption for network privacy","Simulated network traffic and cloud logs","Double-layer asymmetric cryptography","Encrypts and deduplicates database storage","Asymmetric Cryptography, Firewalls","Feature completeness, Privacy metrics","Met all 5 key target security features","Relies on mathematical simulations","Double-layer encryption for cloud privacy"
38,2023,"Liang Xie, Anni Huang, Lanshuang Li, et al.","Fraud control risk management in digital banking","Interviews with 10 banking professionals in Enugu","Qualitative single-case study with UCD","Identifies operational themes in payment risk","ATLAS.ti 7, User-Centered Design","Data saturation depth, Member checking","Identified 4 core fraud control strategies","Small regional sample size (N=10)","Qualitative analysis of payment security controls"
39,2023,"Zhihong Lu, Xiangyang Gao, Chuican Chen","Immutable auditing for cloud file storage","Experimental user credential records and file payloads","Cloud storage + Decentralized blockchain server","Logs user socket operations onto blockchain","Blockchain, Socket Programming","Multi-level interaction flow verification","Successfully created immutable cloud audit trail","Scalability issues with high transaction volume","Decentralized blockchain logging for cloud operations"
40,2023,"Obinna Ogbonnia Otuu, Felix Chukwuma Aguboshim","Integrating PDCA cycle with ISMS auditing","System event logs and threat intelligence models","Plan-Do-Check-Act (PDCA) + ISMS framework","Structures audit preparation and reporting","Nessus, OpenVAS, Metasploit, Nmap","Threat probability, Compliance KPIs","Proves PDCA integration improves ISMS compliance","Requires manual buffer parameter configuration","Process-oriented iteration for continuous security"
41,2023,"KS Ananda Kumar, Jyoti Metan, Shilpa S Mali, et al.","IT project risk tracking platform","WBS task structures and critical path diagrams","Fuzzy AHP + JTP multi-tiered architecture","Calculates project risk weights along critical path","Java Technology Platform (JTP), JSP, MVC","Architectural reliability and robustness","Streamlined IT risk processing and scalability","Lacks empirical stress testing data","Java-based platform for critical path risk tracking"
42,2023,"Aasso Ziro, Shara Toibayeva, Sergiy Gnatyuk, et al.","Threat surface mapping for Health Information Systems","EHR platforms and Health Information Exchanges","STRIDE threat modeling + Countermeasure mapping","Maps HIS entry points to TLS/RBAC controls","STRIDE Framework, TLS, RBAC","Qualitative threat coverage surface","Mapped full HIS attack surface to STRIDE","Lacks real-world penetration test data","STRIDE threat classification for health records"
43,2023,"Cunwei Zhao","Quantitative security metrics using ISO 27002","ISO 27002 control checklists and ISO 27004 data","Deductive quantitative indicator modeling","Converts control checklists to quantitative scores","ISO 27001, 27002, 27004 standards","Compliance percentage, Risk interval","Quantitative scoring accurately highlighted gaps","Manual indicator scoring process","Converting qualitative standards into quantitative metrics"
